DATOS;MARCA;MODELO;PRODUCTO;MOTOR;CILINDRADA;LITROS_A_USAR;LITROS_A_COMPRAR;CALCULO_4L;CANTIDAD_ENVASES_4LT;CALCULO_1LT;CANTIDAD_ENVASES_1LT;LITROS_REMANENTES;PRECIO_4LT;PRECIO_1LT;PRECIO_TOTAL_4LT;PRECIO_TOTAL_1LT;PRECIO_TOTAL
Mercedes Benz SLK 200 Kompressor -   (N/E);Mercedes Benz;SLK 200 Kompressor;Elaion F50;N/E;;5,5;6;1,5;1;0,5;2;0,5;$ 625,00;$ 163,00;$ 625,00;$ 326,00;$ 951,00
Mercedes Benz SLK 350 -   (N/E);Mercedes Benz;SLK 350;Elaion F50;N/E;;8,0;8;2;2;0;0;0;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Mercedes Benz SLK 55 AMG -   (N/E);Mercedes Benz;SLK 55 AMG;Consultar manual;N/E;;5,5;6;1,5;1;0,5;2;0,5;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Mercedes Benz Viano -   (N/E);Mercedes Benz;Viano;Elaion F50;N/E;;9,0;9;2,25;2;0,25;1;0;$ 625,00;$ 163,00;$ 1.250,00;$ 163,00;$ 1.413,00
Mercedes Benz Vito -   (N/E);Mercedes Benz;Vito;Elaion F50 ;N/E;;8,5;9;2,25;2;0,25;1;0,5;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Mini Cooper - 1.6  (Naftero);Mini;Cooper;Elaion F50;Naftero;1.6;5,0;5;1,25;1;0,25;1;0;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Mini Cooper S - 1.6 t  (Naftero);Mini;Cooper S;Elaion F50;Naftero;1.6 t;5,0;5;1,25;1;0,25;1;0;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Mitsubishi L200 - 2.5  (Naftero);Mitsubishi;L200;Elaion SUV;Naftero;2.5;7,4;8;2;2;0;0;0,6;$ 682,00;$ 174,00;$ 1.364,00;$ 0,00;$ 1.364,00
Mitsubishi Lancer - 1.5  (Naftero);Mitsubishi;Lancer;Elaion F50E;Naftero;1.5;4,2;5;1,25;1;0,25;1;0,8;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Mitsubishi Lancer - 2.0  (Naftero);Mitsubishi;Lancer;Elaion F50;Naftero;2.0;4,3;5;1,25;1;0,25;1;0,7;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Mitsubishi Montero - 3.0  (Naftero);Mitsubishi;Montero;Elaion SUV;Naftero;3.0;4,5;5;1,25;1;0,25;1;0,5;$ 682,00;$ 174,00;$ 682,00;$ 174,00;$ 856,00
Mitsubishi Montero - 3.2 td  (Diesel);Mitsubishi;Montero;Elaion SUV;Diesel;3.2 td;9,8;10;2,5;2;0,5;2;0,2;$ 682,00;$ 174,00;$ 1.364,00;$ 348,00;$ 1.712,00
Mitsubishi Outlander - 2.4  (Naftero);Mitsubishi;Outlander;Elaion SUV;Naftero;2.4;4,6;5;1,25;1;0,25;1;0,4;$ 682,00;$ 174,00;$ 682,00;$ 174,00;$ 856,00
Mitsubishi Outlander - 3.0  (Naftero);Mitsubishi;Outlander;Elaion SUV;Naftero;3.0;4,3;5;1,25;1;0,25;1;0,7;$ 682,00;$ 174,00;$ 682,00;$ 174,00;$ 856,00
Nissan 370 Z - 3.7 V6  (Naftero);Nissan;370 Z;Elaion F50E;Naftero;3.7 V6;4,9;5;1,25;1;0,25;1;0,1;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Nissan Frontier (QR25DE) 4x4 - 2.5  (Naftero);Nissan;Frontier (QR25DE) 4x4;Elaion SUV;Naftero;2.5;4,6;5;1,25;1;0,25;1;0,4;$ 682,00;$ 174,00;$ 682,00;$ 174,00;$ 856,00
Nissan Frontier (YD22DDT) - 2.2  (Diesel);Nissan;Frontier (YD22DDT);Elaion Torque;Diesel;2.2;5,2;6;1,5;1;0,5;2;0,8;$ 407,00;$ 105,00;$ 407,00;$ 210,00;$ 617,00
Nissan Frontier (YD22DDT) -DPF - 2.2  (Diesel);Nissan;Frontier (YD22DDT) -DPF;Elaion SUV;Diesel;2.2;5,2;6;1,5;1;0,5;2;0,8;$ 682,00;$ 174,00;$ 682,00;$ 348,00;$ 1.030,00
Nissan Murano (VQ35DE) - 3.5  (Naftero);Nissan;Murano (VQ35DE);Elaion SUV;Naftero;3.5;4,5;5;1,25;1;0,25;1;0,5;$ 682,00;$ 174,00;$ 682,00;$ 174,00;$ 856,00
Nissan NP 300 (KA24DE) - 2.4  (Naftero);Nissan;NP 300 (KA24DE);Elaion F50E;Naftero;2.4;3,5;4;1;1;0;0;0,5;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Nissan NP 300 (YD25DDT) - 2.4 4x4  (Diesel);Nissan;NP 300 (YD25DDT);Elaion F50E;Diesel;2.4 4x4;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Nissan NP 300 (YD25DDT) - 2.5 4x2  (Diesel);Nissan;NP 300 (YD25DDT);Elaion F50E;Diesel;2.5 4x2;5,6;6;1,5;1;0,5;2;0,4;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Nissan Sentra (MR20DE) - 2.0  (Naftero);Nissan;Sentra (MR20DE);Elaion F50E;Naftero;2.0;3,9;4;1;1;0;0;0,1;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Nissan Sentra (QR25DE) - 2.5  (Naftero);Nissan;Sentra (QR25DE);Elaion F50E;Naftero;2.5;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Nissan Teana (VQ25DE) - 2.5  (Naftero);Nissan;Teana (VQ25DE);Elaion F50E;Naftero;2.5;4,6;5;1,25;1;0,25;1;0,4;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Nissan Tiida (MR18DE) - 1.8  (Naftero);Nissan;Tiida (MR18DE);Elaion F50E;Naftero;1.8;4,4;5;1,25;1;0,25;1;0,6;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Nissan X-Trail (M9R) - 2.0  (Diesel);Nissan;X-Trail (M9R);Elaion SUV;Diesel;2.0;6,9;7;1,75;1;0,75;3;0,1;$ 682,00;$ 174,00;$ 682,00;$ 522,00;$ 1.204,00
Nissan X-Trail (MR20DE) - 2.0  (Naftero);Nissan;X-Trail (MR20DE);Elaion SUV;Naftero;2.0;4,0;4;1;1;0;0;0;$ 682,00;$ 174,00;$ 682,00;$ 0,00;$ 682,00
Nissan X-Trail (QR25DE) - 2.5  (Naftero);Nissan;X-Trail (QR25DE);Elaion SUV;Naftero;2.5;4,0;4;1;1;0;0;0;$ 682,00;$ 174,00;$ 682,00;$ 0,00;$ 682,00
Peugeot 206 - 1.1  (Naftero);Peugeot;206;Elaion F50;Naftero;1.1;3,4;4;1;1;0;0;0,6;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Peugeot 206 - 1.4  (Naftero);Peugeot;206;Elaion F50;Naftero;1.4;3,3;4;1;1;0;0;0,75;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Peugeot 206 - 1.4 hdi  (Diesel);Peugeot;206;Elaion F50;Diesel;1.4 hdi;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Peugeot 206 - 1.6  (Naftero);Peugeot;206;Elaion F50;Naftero;1.6;3,4;4;1;1;0;0;0,6;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Peugeot 206 - 1.9  (Diesel);Peugeot;206;Elaion F30;Diesel;1.9;4,5;5;1,25;1;0,25;1;0,5;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Peugeot 206 - 2.0 gti  (Naftero);Peugeot;206;Elaion F50;Naftero;2.0 gti;4,5;5;1,25;1;0,25;1;0,5;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Peugeot 206 - 2.0 hdi  (Diesel);Peugeot;206;Elaion F50;Diesel;2.0 hdi;4,5;5;1,25;1;0,25;1;0,5;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Peugeot 207 - 1.4  (Naftero);Peugeot;207;Elaion F50;Naftero;1.4;3,0;3;0,75;0;0,75;3;0;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Peugeot 207 - 1.6  (Naftero);Peugeot;207;Elaion F50;Naftero;1.6;3,2;4;1;1;0;0;0,8;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Peugeot 207 - 1.9  (Diesel);Peugeot;207;Elaion F50;Diesel;1.9;4,8;5;1,25;1;0,25;1;0,2;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Peugeot 207 - 2.0  (Diesel);Peugeot;207;Elaion F50;Diesel;2.0;4,5;5;1,25;1;0,25;1;0,5;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Peugeot 307 - 1.4  (Naftero);Peugeot;307;Elaion F50;Naftero;1.4;3,1;4;1;1;0;0;0,95;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Peugeot 307 - 1.6  (Diesel);Peugeot;307;Elaion F50;Diesel;1.6;3,3;4;1;1;0;0;0,75;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Peugeot 307 - 1.6  (Naftero);Peugeot;307;Elaion F50;Naftero;1.6;3,3;4;1;1;0;0;0,75;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Peugeot 307 - 2.0  (Diesel);Peugeot;307;Elaion F50;Diesel;2.0;5,0;5;1,25;1;0,25;1;0;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Peugeot 307 - 2.0  (Naftero);Peugeot;307;Elaion F50;Naftero;2.0;5,0;5;1,25;1;0,25;1;0;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Peugeot 307 - 2.0 t  (Diesel);Peugeot;307;Elaion F50;Diesel;2.0 t;5,3;6;1,5;1;0,5;2;0,75;$ 625,00;$ 163,00;$ 625,00;$ 326,00;$ 951,00
Peugeot 407 - 1.6  (Diesel);Peugeot;407;Elaion F50;Diesel;1.6;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
