DATOS;MARCA;MODELO;PRODUCTO;MOTOR;CILINDRADA;LITROS_A_USAR;LITROS_A_COMPRAR;CALCULO_4L;CANTIDAD_ENVASES_4LT;CALCULO_1LT;CANTIDAD_ENVASES_1LT;LITROS_REMANENTES;PRECIO_4LT;PRECIO_1LT;PRECIO_TOTAL_4LT;PRECIO_TOTAL_1LT;PRECIO_TOTAL
Volvo S40 - 1.8F  (Naftero);Volvo;S40;Elaion F50E;Naftero;1.8F;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Volvo S40 - 2.0  (Naftero);Volvo;S40;Elaion F50E;Naftero;2.0;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Volvo S40 - 2.0D  (Diesel);Volvo;S40;Elaion F50E;Diesel;2.0D;5,0;5;1,25;1;0,25;1;0;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Volvo S40 - 2.4  (Naftero);Volvo;S40;Elaion F50E;Naftero;2.4;5,5;6;1,5;1;0,5;2;0,5;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Volvo S40 - 2.4i  (Naftero);Volvo;S40;Elaion F50E;Naftero;2.4i;5,8;6;1,5;1;0,5;2;0,2;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Volvo S40 - D5  (Diesel);Volvo;S40;Consultar manual;Diesel;D5;6,0;6;1,5;1;0,5;2;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo S40 - T5  (Naftero);Volvo;S40;Elaion F50E;Naftero;T5;5,5;6;1,5;1;0,5;2;0,5;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Volvo S60 - 2.0T  (Naftero);Volvo;S60;Elaion F50E;Naftero;2.0T;5,5;6;1,5;1;0,5;2;0,5;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Volvo S60 - 2.4  (Naftero);Volvo;S60;Consultar manual;Naftero;2.4;5,5;6;1,5;1;0,5;2;0,5;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo S60 - 2.4D  (Diesel);Volvo;S60;Consultar manual;Diesel;2.4D;6,2;7;1,75;1;0,75;3;0,8;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo S60 - D5  (Diesel);Volvo;S60;Consultar manual;Diesel;D5;6,0;6;1,5;1;0,5;2;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo S60 - T5  (Naftero);Volvo;S60;Consultar manual;Naftero;T5;5,5;6;1,5;1;0,5;2;0,5;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo S80 - 2.4D  (Diesel);Volvo;S80;Consultar manual;Diesel;2.4D;6,2;7;1,75;1;0,75;3;0,8;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo S80 - 2.5T  (Naftero);Volvo;S80;Consultar manual;Naftero;2.5T;5,5;6;1,5;1;0,5;2;0,5;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo S80 - 3.2T  (Naftero);Volvo;S80;Consultar manual;Naftero;3.2T;0,0;0;0;0;0;0;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo S80 - 4.4i V8  (Naftero);Volvo;S80;Consultar manual;Naftero;4.4i V8;7,0;7;1,75;1;0,75;3;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo S80 - D5  (Diesel);Volvo;S80;Consultar manual;Diesel;D5;6,0;6;1,5;1;0,5;2;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo S80 - T6  (Naftero);Volvo;S80;Consultar manual;Naftero;T6;6,6;7;1,75;1;0,75;3;0,4;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo V50 - 1.6  (Naftero);Volvo;V50;Elaion F50E;Naftero;1.6;4,0;4;1;1;0;0;0;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Volvo V50 - 1.6D  (Diesel);Volvo;V50;Elaion F50E;Diesel;1.6D;3,7;4;1;1;0;0;0,3;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Volvo V50 - 1.8  (Naftero);Volvo;V50;Elaion F50E;Naftero;1.8;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Volvo V50 - 1.8F  (Naftero);Volvo;V50;Elaion F50E;Naftero;1.8F;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Volvo V50 - 2.0  (Naftero);Volvo;V50;Elaion F50E;Naftero;2.0;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Volvo V50 - 2.0D  (Diesel);Volvo;V50;Elaion F50E;Diesel;2.0D;5,0;5;1,25;1;0,25;1;0;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Volvo V50 - 2.4  (Naftero);Volvo;V50;Elaion F50E;Naftero;2.4;5,5;6;1,5;1;0,5;2;0,5;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Volvo V50 - 2.4i  (Naftero);Volvo;V50;Elaion F50E;Naftero;2.4i;5,8;6;1,5;1;0,5;2;0,2;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Volvo V50 - D5  (Diesel);Volvo;V50;Consultar manual;Diesel;D5;6,0;6;1,5;1;0,5;2;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo V50 - T5  (Naftero);Volvo;V50;Elaion F50E;Naftero;T5;5,5;6;1,5;1;0,5;2;0,5;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Volvo XC90 - 2.5T  (Naftero);Volvo;XC90;Consultar manual;Naftero;2.5T;5,5;6;1,5;1;0,5;2;0,5;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo XC90 - 3.2T  (Naftero);Volvo;XC90;Consultar manual;Naftero;3.2T;0,0;0;0;0;0;0;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo XC90 - 4.4i V8  (Naftero);Volvo;XC90;Consultar manual;Naftero;4.4i V8;7,0;7;1,75;1;0,75;3;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo XC90 - D5  (Diesel);Volvo;XC90;Consultar manual;Diesel;D5;6,0;6;1,5;1;0,5;2;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
